CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_COMP	L_COMPSUBJ	L_COMPREST	L_MATRV2CC	L_MATRBE4S	L_MATRSUBJ	L_MATRS2V	DPCW	DPWC	SURPRISAL
2658	ICLE	SPAL1004	say	absent	obj	Spanish	written	14	2	12	0	15	5	0	-0.0032426389	-0.0076675563	4.5534543703
2659	ICE-GB	S2B-016	say	absent	obj	English	spoken	77	2	75	0	0	27	0	-0.0032426389	-0.0076675563	4.5534543703
2660	ICE-GB	S2B-023	say	present	obj	English	spoken	229	5	224	0	0	4	0	-0.0032426389	-0.0076675563	15.1237844713
2661	ICE-GB	S2B-009	say	absent	obj	English	spoken	128	21	107	0	0	18	0	-0.0032426389	-0.0076675563	12.4233447532
2662	ICLE	SPM07020	say	present	obj	Spanish	written	18	4	14	0	0	4	0	-0.0032426389	-0.0076675563	16.1237844713
2663	ICLE	SPM09003	say	present	obj	Spanish	written	41	4	37	0	4	7	0	-0.0032426389	-0.0076675563	13.3164295493
2664	ICLE	SPM09008	say	absent	obj	Spanish	written	38	4	34	0	8	10	0	-0.0032426389	-0.0076675563	13.3164295493
2665	ICLE	SPM08009	say	present	obj	Spanish	written	62	4	58	0	12	1	5	-0.0032426389	-0.0076675563	12.6643528527
2666	ICLE	SPM05019	say	present	obj	Spanish	written	59	38	21	0	8	2	3	-0.0032426389	-0.0076675563	16.1237844713
2667	ICLE	GEAU3016	say	present	obj	German	written	26	3	23	0	4	6	0	-0.0032426389	-0.0076675563	15.1237844713
2668	ICLE	SPM03051	say	absent	obj	Spanish	written	17	3	14	0	0	2	4	-0.0032426389	-0.0076675563	15.1237844713
2669	ICLE	SPM07002	say	present	obj	Spanish	written	84	17	67	0	8	2	2	-0.0032426389	-0.0076675563	11.1237844713
2670	ICLE	SPM02002	say	present	obj	Spanish	written	65	3	62	0	14	2	3	-0.0032426389	-0.0076675563	13.1237844713
2671	ICE-GB	S1B-043	say	present	obj	English	spoken	30	17	13	0	0	4	0	-0.0032426389	-0.0076675563	13.8018563765
2672	ICLE	SPM02002	say	present	obj	Spanish	written	21	5	16	0	5	11	5	-0.0032426389	-0.0076675563	12.4233447532
2673	ICLE	SPM03020	say	absent	obj	Spanish	written	22	5	17	0	0	12	0	-0.0032426389	-0.0076675563	12.4233447532
2674	ICE-GB	S2B-046	say	present	obj	English	spoken	376	5	371	0	0	2	0	-0.0032426389	-0.0076675563	16.1237844713
2675	ICE-GB	S2B-005	say	present	obj	English	spoken	98	74	24	0	0	13	0	-0.0032426389	-0.0076675563	8.6480510404
2676	ICE-GB	S2B-018	say	absent	obj	English	spoken	88	36	52	0	0	24	0	-0.0032426389	-0.0076675563	8.6480510404
2677	LINDSEI	GE003	say	absent	obj	German	spoken	103	29	74	0	17	1	0	-0.0032426389	-0.0076675563	11.3688969692
2678	ICLE	SPM01012	say	absent	obj	Spanish	written	64	23	41	0	2	10	0	-0.0032426389	-0.0076675563	11.3688969692
2679	ICLE	SPM05012	say	present	obj	Spanish	written	66	18	48	0	0	2	0	-0.0032426389	-0.0076675563	11.3688969692
2680	ICE-GB	S2B-042	say	absent	obj	English	spoken	142	10	132	0	0	1	0	-0.0032426389	-0.0076675563	11.3688969692
2681	ICE-GB	S2B-017	say	present	obj	English	spoken	208	47	161	0	0	34	0	-0.0032426389	-0.0076675563	10.079390352
2682	ICE-GB	S2A-068	say	present	obj	English	spoken	41	10	31	0	0	1	0	-0.0032426389	-0.0076675563	10.079390352
2683	ICE-GB	S2B-015	say	absent	obj	English	spoken	204	7	197	0	0	21	0	-0.0032426389	-0.0076675563	10.079390352
2684	ICE-GB	W2F-016	say	present	obj	English	written	37	19	18	0	0	2	12	-0.0032426389	-0.0076675563	12.5388219706
2685	ICLE	SPM07002	say	present	obj	Spanish	written	45	11	34	0	0	3	0	-0.0032426389	-0.0076675563	9.181269966
2686	ICE-GB	W1B-009	say	absent	obj	English	written	59	10	49	0	0	1	0	-0.0032426389	-0.0076675563	9.181269966
2687	ICLE	SPAL1005	say	present	obj	Spanish	written	17	6	11	0	4	3	0	-0.0032426389	-0.0076675563	16.1237844713
2688	ICE-GB	S2B-020	say	absent	obj	English	spoken	194	147	47	0	0	4	0	-0.0032426389	-0.0076675563	16.1237844713
2689	ICLE	SPM04009	say	absent	obj	Spanish	written	63	12	51	0	0	2	0	-0.0032426389	-0.0076675563	6.4495922032
2690	ICE-GB	S2B-017	say	absent	obj	English	spoken	107	17	90	0	0	18	0	-0.0032426389	-0.0076675563	6.4495922032
2691	ICLE	SPM04017	say	present	obj	Spanish	written	29	4	25	0	2	4	0	-0.0032426389	-0.0076675563	9.631931375
2692	ICLE	SPM10006	say	present	obj	Spanish	written	67	28	39	0	15	1	13	-0.0032426389	-0.0076675563	14.5388219706
2693	ICLE	SPM03032	say	present	obj	Spanish	written	88	5	83	0	0	2	0	-0.0032426389	-0.0076675563	14.5388219706
2694	ICLE	GEAU1017	say	absent	obj	German	written	85	31	54	0	0	11	0	-0.0032426389	-0.0076675563	16.1237844713
2695	ICE-GB	S1B-028	say	present	obj	English	spoken	185	83	102	0	0	1	0	-0.0032426389	-0.0076675563	9.9945014544
2696	ICE-GB	W1B-009	say	absent	obj	English	written	33	8	25	0	0	1	0	-0.0032426389	-0.0076675563	10.5691956197
2697	ICLE	SPM03037	say	present	obj	Spanish	written	108	11	97	0	12	1	6	-0.0032426389	-0.0076675563	10.5691956197
2698	ICLE	SPM04019	say	present	obj	Spanish	written	52	6	46	0	4	2	0	-0.0032426389	-0.0076675563	11.0363216301
2699	ICLE	GESA5036	say	present	obj	German	written	66	35	31	0	4	1	0	-0.0032426389	-0.0076675563	11.0363216301
2700	ICLE	SPM10004	say	present	obj	Spanish	written	85	22	63	0	0	2	0	-0.0032426389	-0.0076675563	11.0363216301
2701	ICLE	GEDR1009	say	present	obj	German	written	80	6	74	0	0	30	0	-0.0032426389	-0.0076675563	11.0363216301
2702	ICLE	SPM04011	say	present	obj	Spanish	written	45	20	25	0	13	1	7	-0.0032426389	-0.0076675563	11.2168938757
2703	ICE-GB	S1A-024	say	absent	obj	English	spoken	104	9	95	0	4	3	0	-0.0032426389	-0.0076675563	16.1237844713
2704	ICLE	SPM01014	say	present	obj	Spanish	written	69	21	48	0	9	2	3	-0.0032426389	-0.0076675563	16.1237844713
2705	ICLE	SPM05022	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2706	ICLE	SPM05001	say	present	obj	Spanish	written	36	8	28	0	4	2	0	-0.0032426389	-0.0076675563	14.5388219706
2707	ICLE	SPM03043	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2708	ICLE	SPM05019	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2709	ICLE	SPM04017	say	present	obj	Spanish	written	35	8	27	0	2	3	0	-0.0032426389	-0.0076675563	14.5388219706
2710	ICLE	SPM05006	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2711	ICLE	SPM04005	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2712	ICLE	SPM04037	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2713	ICLE	SPM04007	say	present	obj	Spanish	written	37	8	29	0	0	4	0	-0.0032426389	-0.0076675563	14.5388219706
2714	ICLE	SPM05021	say	present	obj	Spanish	written	36	8	28	0	0	4	4	-0.0032426389	-0.0076675563	14.5388219706
2715	ICE-GB	S2B-014	say	absent	obj	English	spoken	104	9	95	0	0	57	0	-0.0032426389	-0.0076675563	14.1237844713
2716	ICLE	SPM08003	say	present	obj	Spanish	written	22	3	19	0	0	14	0	-0.0032426389	-0.0076675563	7.0958784748
2717	ICLE	SPM06003	say	present	obj	Spanish	written	55	21	34	0	10	1	5	-0.0032426389	-0.0076675563	7.0958784748
2718	LINDSEI	GE003	say	absent	obj	German	spoken	43	3	40	0	0	1	0	-0.0032426389	-0.0076675563	7.0958784748
2719	ICLE	SPM08004	say	present	obj	Spanish	written	22	3	19	0	0	3	18	-0.0032426389	-0.0076675563	7.0958784748
2720	ICLE	SPAL1002	say	absent	obj	Spanish	written	33	3	30	0	0	3	0	-0.0032426389	-0.0076675563	7.0958784748
2721	ICE-GB	S1A-020	say	absent	obj	English	spoken	41	3	38	0	0	1	0	-0.0032426389	-0.0076675563	7.0958784748
2722	ICE-GB	W2F-013	say	present	obj	English	written	118	3	115	0	0	3	0	-0.0032426389	-0.0076675563	7.0958784748
2723	ICLE	SPM08005	say	absent	obj	Spanish	written	61	3	58	0	4	3	0	-0.0032426389	-0.0076675563	7.0958784748
2724	ICLE	SPM08013	say	present	obj	Spanish	written	43	3	40	0	4	3	0	-0.0032426389	-0.0076675563	7.0958784748
2725	LINDSEI	SP006	say	absent	obj	Spanish	spoken	21	3	18	0	0	2	0	-0.0032426389	-0.0076675563	7.0958784748
2726	ICLE	SPM05018	say	present	obj	Spanish	written	58	3	55	0	35	22	0	-0.0032426389	-0.0076675563	7.0958784748
2727	ICE-GB	S1B-047	say	present	obj	English	spoken	212	20	192	0	37	3	0	-0.0032426389	-0.0076675563	11.8018563765
2728	ICE-GB	W2F-004	say	present	obj	English	written	81	4	77	0	0	4	0	-0.0032426389	-0.0076675563	11.8018563765
2729	LINDSEI	GE026	say	present	obj	German	spoken	39	30	9	0	0	1	0	-0.0032426389	-0.0076675563	9.5388219706
2730	ICE-GB	S1A-037	say	absent	obj	English	spoken	25	8	17	0	0	3	0	-0.0032426389	-0.0076675563	12.6643528527
2731	ICE-GB	S1B-016	say	present	obj	English	spoken	215	20	195	0	2	1	0	-0.0032426389	-0.0076675563	11.3164295493
2732	ICLE	GESA4009	say	present	obj	German	written	46	10	36	0	0	3	0	-0.0032426389	-0.0076675563	9.9339599125
2733	ICLE	SPM03018	say	present	obj	Spanish	written	25	10	15	0	17	2	0	-0.0032426389	-0.0076675563	14.5388219706
2734	ICLE	SPM04017	say	present	obj	Spanish	written	38	10	28	0	2	3	0	-0.0032426389	-0.0076675563	14.5388219706
2735	ICLE	SPM10003	say	present	obj	Spanish	written	36	10	26	0	22	2	19	-0.0032426389	-0.0076675563	14.5388219706
2736	ICLE	SPM05005	say	present	obj	Spanish	written	37	10	27	0	9	9	5	-0.0032426389	-0.0076675563	14.5388219706
2737	ICLE	SPM02010	say	present	obj	Spanish	written	42	10	32	0	0	2	2	-0.0032426389	-0.0076675563	14.5388219706
2738	ICLE	SPM05005	say	absent	obj	Spanish	written	37	10	27	0	0	2	0	-0.0032426389	-0.0076675563	14.5388219706
2739	ICLE	SPM01008	say	present	obj	Spanish	written	55	10	45	0	0	3	8	-0.0032426389	-0.0076675563	14.5388219706
2740	ICLE	SPM05005	say	present	obj	Spanish	written	59	10	49	0	5	1	0	-0.0032426389	-0.0076675563	14.5388219706
2741	LINDSEI	GE033	say	absent	obj	German	spoken	36	4	32	0	0	3	0	-0.0032426389	-0.0076675563	2.8237179614
2742	ICE-GB	S1B-070	say	absent	obj	English	spoken	18	4	14	0	3	1	0	-0.0032426389	-0.0076675563	2.8237179614
2743	ICE-GB	S1B-034	say	absent	obj	English	spoken	22	4	18	0	0	53	0	-0.0032426389	-0.0076675563	2.8237179614
2744	LINDSEI	SP006	say	present	obj	Spanish	spoken	56	2	54	0	0	1	0	-0.0032426389	-0.0076675563	2.8237179614
2745	LINDSEI	GE031	say	absent	obj	German	spoken	31	4	27	0	0	4	6	-0.0032426389	-0.0076675563	2.8237179614
2746	ICE-GB	S1B-039	say	absent	obj	English	spoken	37	4	33	0	0	4	0	-0.0032426389	-0.0076675563	2.8237179614
2747	ICE-GB	S2A-064	say	present	obj	English	spoken	30	13	17	0	0	1	8	-0.0032426389	-0.0076675563	2.8237179614
2748	ICE-GB	S1B-015	say	present	obj	English	spoken	34	9	25	0	0	3	0	-0.0032426389	-0.0076675563	4.5548783168
2749	ICE-GB	S1B-022	say	absent	obj	English	spoken	230	27	203	0	0	4	0	-0.0032426389	-0.0076675563	4.5548783168
2750	LINDSEI	GE031	say	absent	obj	German	spoken	47	11	36	0	0	12	0	-0.0032426389	-0.0076675563	4.5548783168
2751	ICE-GB	S1A-069	say	absent	obj	English	spoken	76	46	30	0	0	1	0	-0.0032426389	-0.0076675563	4.5548783168
2752	ICLE	GESA3008	say	present	obj	German	written	45	22	23	0	0	1	0	-0.0032426389	-0.0076675563	4.5548783168
2753	ICE-GB	S1B-010	say	present	obj	English	spoken	107	37	70	0	0	3	0	-0.0032426389	-0.0076675563	4.5548783168
2754	ICLE	SPAL1001	say	present	obj	Spanish	written	43	14	29	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2755	ICLE	SPM04034	say	present	obj	Spanish	written	54	27	27	0	0	1	0	-0.0032426389	-0.0076675563	4.5548783168
2756	ICE-GB	S1B-069	say	absent	obj	English	spoken	132	8	124	0	20	3	0	-0.0032426389	-0.0076675563	4.5548783168
2757	ICE-GB	S2A-065	say	present	obj	English	spoken	75	10	65	0	0	4	0	-0.0032426389	-0.0076675563	4.5548783168
2758	ICLE	SPAL1002	say	present	obj	Spanish	written	32	10	22	0	23	5	0	-0.0032426389	-0.0076675563	4.5548783168
2759	ICLE	SPM05008	say	absent	obj	Spanish	written	58	12	46	0	30	1	4	-0.0032426389	-0.0076675563	4.5548783168
2760	ICLE	SPM04017	say	present	obj	Spanish	written	40	12	28	0	4	4	0	-0.0032426389	-0.0076675563	4.5548783168
2761	LINDSEI	SP029	say	present	obj	Spanish	spoken	38	4	34	0	21	4	0	-0.0032426389	-0.0076675563	4.5548783168
2762	ICE-GB	S2B-016	say	absent	obj	English	spoken	67	28	39	0	0	13	0	-0.0032426389	-0.0076675563	4.5548783168
2763	ICLE	SPM03020	say	present	obj	Spanish	written	52	37	15	0	9	2	3	-0.0032426389	-0.0076675563	4.5548783168
2764	ICE-GB	S1B-027	say	present	obj	English	spoken	65	25	40	0	0	23	0	-0.0032426389	-0.0076675563	4.5548783168
2765	ICLE	SPM05019	say	present	obj	Spanish	written	38	20	18	0	7	2	3	-0.0032426389	-0.0076675563	4.5548783168
2766	LINDSEI	GE031	say	present	obj	German	spoken	32	9	23	0	0	22	0	-0.0032426389	-0.0076675563	4.5548783168
2767	ICLE	SPM01012	say	present	obj	Spanish	written	45	32	13	0	22	2	3	-0.0032426389	-0.0076675563	4.5548783168
2768	ICLE	SPM08002	say	present	obj	Spanish	written	89	11	78	0	44	2	3	-0.0032426389	-0.0076675563	4.5548783168
2769	ICE-GB	W2D-019	say	present	obj	English	written	55	36	19	0	6	40	0	-0.0032426389	-0.0076675563	4.5548783168
2770	ICE-GB	S2A-040	say	present	obj	English	spoken	63	10	53	0	0	5	0	-0.0032426389	-0.0076675563	4.5548783168
2771	ICE-GB	S2A-055	say	absent	obj	English	spoken	56	16	40	0	0	10	0	-0.0032426389	-0.0076675563	4.5548783168
2772	ICLE	GESA5020	say	absent	obj	German	written	39	16	23	0	0	1	0	-0.0032426389	-0.0076675563	4.5548783168
2773	ICE-GB	S2B-032	say	present	obj	English	spoken	46	11	35	0	0	9	0	-0.0032426389	-0.0076675563	4.5548783168
2774	ICLE	SPM06011	say	present	obj	Spanish	written	23	8	15	0	34	2	2	-0.0032426389	-0.0076675563	4.5548783168
2775	ICLE	SPM05019	say	present	obj	Spanish	written	29	14	15	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2776	ICLE	GEDR1009	say	present	obj	German	written	48	27	21	0	0	3	0	-0.0032426389	-0.0076675563	4.5548783168
2777	ICE-GB	S1A-059	say	present	obj	English	spoken	19	15	4	0	0	3	0	-0.0032426389	-0.0076675563	4.5548783168
2778	ICLE	SPM02001	say	present	obj	Spanish	written	41	14	27	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2779	ICLE	SPM02009	say	present	obj	Spanish	written	99	3	96	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2780	ICE-GB	S2B-006	say	absent	obj	English	spoken	76	26	50	0	0	22	0	-0.0032426389	-0.0076675563	4.5548783168
2781	ICE-GB	S1B-030	say	present	obj	English	spoken	132	88	44	0	0	1	0	-0.0032426389	-0.0076675563	4.5548783168
2782	ICLE	SPM04034	say	present	obj	Spanish	written	64	15	49	0	51	1	6	-0.0032426389	-0.0076675563	4.5548783168
2783	ICLE	GEBA1029	say	present	obj	German	written	90	49	41	0	10	1	5	-0.0032426389	-0.0076675563	4.5548783168
2784	ICE-GB	S2B-032	say	present	obj	English	spoken	44	12	32	0	64	30	0	-0.0032426389	-0.0076675563	4.5548783168
2785	ICE-GB	S2B-005	say	absent	obj	English	spoken	48	11	37	0	0	12	0	-0.0032426389	-0.0076675563	4.5548783168
2786	ICE-GB	S1B-031	say	present	obj	English	spoken	112	7	105	0	17	1	0	-0.0032426389	-0.0076675563	4.5548783168
2787	ICE-GB	W2E-010	say	absent	obj	English	written	48	19	29	0	0	29	0	-0.0032426389	-0.0076675563	4.5548783168
2788	ICE-GB	S1A-070	say	absent	obj	English	spoken	63	11	52	0	0	1	0	-0.0032426389	-0.0076675563	4.5548783168
2789	ICLE	SPM04017	say	present	obj	Spanish	written	43	9	34	0	4	15	0	-0.0032426389	-0.0076675563	4.5548783168
2790	ICLE	SPM09006	say	present	obj	Spanish	written	48	10	38	0	27	10	8	-0.0032426389	-0.0076675563	4.5548783168
2791	ICLE	GESA4004	say	present	obj	German	written	73	37	36	0	0	10	0	-0.0032426389	-0.0076675563	4.5548783168
2792	ICE-GB	S1A-002	say	absent	obj	English	spoken	92	12	80	0	0	3	0	-0.0032426389	-0.0076675563	4.5548783168
2793	ICLE	SPM02010	say	absent	obj	Spanish	written	27	12	15	0	7	1	0	-0.0032426389	-0.0076675563	4.5548783168
2794	ICLE	SPM09006	say	present	obj	Spanish	written	29	8	21	0	0	6	0	-0.0032426389	-0.0076675563	4.5548783168
2795	ICLE	SPM04044	say	present	obj	Spanish	written	46	15	31	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2796	ICLE	SPM03005	say	present	obj	Spanish	written	21	11	10	0	11	2	7	-0.0032426389	-0.0076675563	4.5548783168
2797	ICLE	SPM03051	say	present	obj	Spanish	written	39	12	27	0	4	2	0	-0.0032426389	-0.0076675563	4.5548783168
2798	ICLE	SPM09007	say	absent	obj	Spanish	written	44	10	34	0	0	9	0	-0.0032426389	-0.0076675563	4.5548783168
2799	ICE-GB	S1B-029	say	absent	obj	English	spoken	83	10	73	0	0	3	0	-0.0032426389	-0.0076675563	4.5548783168
2800	ICE-GB	S2B-019	say	absent	obj	English	spoken	61	11	50	0	0	59	0	-0.0032426389	-0.0076675563	4.5548783168
2801	ICLE	SPM03025	say	present	obj	Spanish	written	164	95	69	0	5	2	8	-0.0032426389	-0.0076675563	4.5548783168
2802	ICE-GB	S2B-016	say	absent	obj	English	spoken	40	10	30	0	0	9	0	-0.0032426389	-0.0076675563	4.5548783168
2803	ICLE	SPAL1002	say	present	obj	Spanish	written	27	15	12	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2804	ICE-GB	S1B-024	say	present	obj	English	spoken	153	39	114	0	0	4	0	-0.0032426389	-0.0076675563	4.5548783168
2805	ICLE	SPM04019	say	present	obj	Spanish	written	38	14	24	0	0	2	0	-0.0032426389	-0.0076675563	4.5548783168
2806	ICE-GB	S2B-023	say	present	obj	English	spoken	180	9	171	0	0	31	4	-0.0032426389	-0.0076675563	4.5548783168
2807	ICE-GB	S2A-021	say	present	obj	English	spoken	137	67	70	0	2	3	0	-0.0032426389	-0.0076675563	4.5548783168
2808	ICLE	SPM03019	say	present	obj	Spanish	written	49	24	25	0	33	2	0	-0.0032426389	-0.0076675563	4.5548783168
2809	ICE-GB	S2B-001	say	absent	obj	English	spoken	131	51	80	0	0	19	0	-0.0032426389	-0.0076675563	8.9143311057
2810	ICE-GB	S2B-020	say	absent	obj	English	spoken	55	9	46	0	0	10	0	-0.0032426389	-0.0076675563	8.9143311057
2811	ICLE	SPAL1001	say	present	obj	Spanish	written	51	16	35	0	0	5	0	-0.0032426389	-0.0076675563	8.9143311057
2812	ICLE	SPAL1002	say	present	obj	Spanish	written	19	11	8	0	0	2	0	-0.0032426389	-0.0076675563	8.9143311057
2813	ICLE	SPM05012	say	present	obj	Spanish	written	37	10	27	0	12	2	0	-0.0032426389	-0.0076675563	8.9143311057
2814	ICE-GB	S2B-016	say	absent	obj	English	spoken	43	16	27	0	0	17	0	-0.0032426389	-0.0076675563	8.9143311057
2815	ICE-GB	S1B-070	say	absent	obj	English	spoken	84	5	79	0	0	1	0	-0.0032426389	-0.0076675563	6.8782317651
2816	ICLE	GEDR1026	say	absent	obj	German	written	47	5	42	0	5	3	3	-0.0032426389	-0.0076675563	6.8782317651
2817	ICE-GB	S1B-043	say	absent	obj	English	spoken	140	5	135	0	0	1	0	-0.0032426389	-0.0076675563	6.8782317651
2818	ICE-GB	S1A-059	say	absent	obj	English	spoken	26	5	21	0	0	1	0	-0.0032426389	-0.0076675563	6.8782317651
2819	ICLE	SPM02001	say	present	obj	Spanish	written	62	5	57	0	0	1	0	-0.0032426389	-0.0076675563	6.8782317651
2820	ICE-GB	S1B-067	say	present	obj	English	spoken	47	5	42	0	3	3	0	-0.0032426389	-0.0076675563	6.8782317651
2821	LINDSEI	GE003	say	absent	obj	German	spoken	10	5	5	0	0	1	0	-0.0032426389	-0.0076675563	6.8782317651
2822	ICE-GB	S1A-068	say	present	obj	English	spoken	58	5	53	0	0	19	0	-0.0032426389	-0.0076675563	6.8782317651
2823	ICLE	GEAU1103	say	present	obj	German	written	34	5	29	0	0	3	0	-0.0032426389	-0.0076675563	6.8782317651
2824	ICLE	GESA2007	say	present	obj	German	written	104	5	99	0	34	3	5	-0.0032426389	-0.0076675563	6.8782317651
2825	ICE-GB	S1A-033	say	absent	obj	English	spoken	64	5	59	0	0	14	0	-0.0032426389	-0.0076675563	6.8782317651
2826	ICE-GB	S1A-086	say	absent	obj	English	spoken	21	5	16	0	6	3	0	-0.0032426389	-0.0076675563	6.8782317651
2827	ICLE	SPM04009	say	absent	obj	Spanish	written	22	5	17	0	9	27	5	-0.0032426389	-0.0076675563	6.8782317651
2828	ICE-GB	S2A-030	say	absent	obj	English	spoken	57	5	52	0	0	2	0	-0.0032426389	-0.0076675563	6.8782317651
2829	ICE-GB	S2B-017	say	absent	obj	English	spoken	98	5	93	0	0	10	0	-0.0032426389	-0.0076675563	6.8782317651
2830	LINDSEI	SP042	say	present	obj	Spanish	spoken	47	5	42	0	0	9	6	-0.0032426389	-0.0076675563	6.8782317651
2831	ICLE	SPM04015	say	present	obj	Spanish	written	62	5	57	0	68	2	0	-0.0032426389	-0.0076675563	6.8782317651
2832	ICLE	GESA2003	say	present	obj	German	written	41	18	23	0	0	6	0	-0.0032426389	-0.0076675563	9.5090746272
2833	ICLE	SPM09003	say	present	obj	Spanish	written	36	15	21	0	0	2	0	-0.0032426389	-0.0076675563	9.5090746272
2834	ICLE	SPAL1008	say	present	obj	Spanish	written	75	11	64	0	8	2	7	-0.0032426389	-0.0076675563	9.5090746272
2835	ICE-GB	S2A-070	say	present	obj	English	spoken	115	4	111	0	36	11	0	-0.0032426389	-0.0076675563	5.1623347769
2836	ICE-GB	S2B-011	say	absent	obj	English	spoken	82	4	78	0	0	4	0	-0.0032426389	-0.0076675563	5.1623347769
2837	ICE-GB	S2A-066	say	present	obj	English	spoken	57	4	53	0	0	14	0	-0.0032426389	-0.0076675563	5.1623347769
2838	ICE-GB	S2B-017	say	absent	obj	English	spoken	122	4	118	0	0	9	0	-0.0032426389	-0.0076675563	5.1623347769
2839	ICLE	SPM08003	say	present	obj	Spanish	written	48	4	44	0	0	9	0	-0.0032426389	-0.0076675563	5.1623347769
2840	ICLE	SPM07010	say	present	obj	Spanish	written	197	4	193	0	0	13	0	-0.0032426389	-0.0076675563	5.1623347769
2841	LINDSEI	GE031	say	absent	obj	German	spoken	25	4	21	0	0	30	0	-0.0032426389	-0.0076675563	5.1623347769
2842	ICLE	SPM06010	say	present	obj	Spanish	written	76	4	72	0	0	2	0	-0.0032426389	-0.0076675563	5.1623347769
2843	ICE-GB	S2B-019	say	absent	obj	English	spoken	38	4	34	0	0	31	0	-0.0032426389	-0.0076675563	5.1623347769
2844	ICE-GB	S2B-016	say	absent	obj	English	spoken	80	4	76	0	0	6	0	-0.0032426389	-0.0076675563	5.1623347769
2845	ICE-GB	S2B-016	say	absent	obj	English	spoken	57	4	53	0	6	9	0	-0.0032426389	-0.0076675563	5.1623347769
2846	ICLE	SPAL1002	say	present	obj	Spanish	written	16	4	12	0	10	2	0	-0.0032426389	-0.0076675563	5.1623347769
2847	ICE-GB	S2B-001	say	present	obj	English	spoken	64	4	60	0	57	2	0	-0.0032426389	-0.0076675563	5.1623347769
2848	ICLE	SPM08013	say	present	obj	Spanish	written	49	4	45	0	0	2	10	-0.0032426389	-0.0076675563	5.1623347769
2849	ICE-GB	S2B-018	say	absent	obj	English	spoken	39	4	35	0	0	10	0	-0.0032426389	-0.0076675563	5.1623347769
2850	ICE-GB	S2B-019	say	absent	obj	English	spoken	60	4	56	0	0	4	0	-0.0032426389	-0.0076675563	5.1623347769
2851	ICE-GB	S1B-048	say	present	obj	English	spoken	176	4	172	0	3	6	5	-0.0032426389	-0.0076675563	5.1623347769
2852	LINDSEI	GE034	say	absent	obj	German	spoken	24	4	20	0	0	3	0	-0.0032426389	-0.0076675563	5.1623347769
2853	ICE-GB	S2B-009	say	absent	obj	English	spoken	64	4	60	0	0	6	0	-0.0032426389	-0.0076675563	5.1623347769
2854	ICLE	SPAL1007	say	present	obj	Spanish	written	25	4	21	0	0	2	3	-0.0032426389	-0.0076675563	5.1623347769
2855	ICE-GB	S2B-001	say	absent	obj	English	spoken	63	4	59	0	0	10	0	-0.0032426389	-0.0076675563	5.1623347769
2856	ICLE	SPAL1002	say	absent	obj	Spanish	written	12	4	8	0	0	2	0	-0.0032426389	-0.0076675563	5.1623347769
2857	ICE-GB	S2A-021	say	present	obj	English	spoken	21	4	17	0	0	3	0	-0.0032426389	-0.0076675563	5.1623347769
2858	ICE-GB	S1A-073	say	absent	obj	English	spoken	14	4	10	0	0	1	0	-0.0032426389	-0.0076675563	5.1623347769
2859	ICLE	SPM05008	say	present	obj	Spanish	written	21	4	17	0	48	2	7	-0.0032426389	-0.0076675563	5.1623347769
2860	ICE-GB	S1B-034	say	present	obj	English	spoken	51	4	47	0	0	42	0	-0.0032426389	-0.0076675563	5.1623347769
2861	ICE-GB	S1B-016	say	present	obj	English	spoken	27	4	23	0	0	2	0	-0.0032426389	-0.0076675563	5.1623347769
2862	ICE-GB	S2B-020	say	absent	obj	English	spoken	24	4	20	0	0	6	0	-0.0032426389	-0.0076675563	5.1623347769
2863	ICLE	SPM04042	say	present	obj	Spanish	written	11	4	7	0	0	11	5	-0.0032426389	-0.0076675563	5.1623347769
2864	ICE-GB	S2B-021	say	absent	obj	English	spoken	154	4	150	0	0	9	0	-0.0032426389	-0.0076675563	5.1623347769
2865	ICE-GB	S2A-037	say	present	obj	English	spoken	22	4	18	0	0	1	0	-0.0032426389	-0.0076675563	5.1623347769
2866	ICE-GB	S1B-064	say	absent	obj	English	spoken	56	4	52	0	0	11	0	-0.0032426389	-0.0076675563	5.1623347769
2867	ICLE	SPM10006	say	absent	obj	Spanish	written	22	4	18	0	7	68	3	-0.0032426389	-0.0076675563	5.1623347769
2868	ICLE	SPM05011	say	present	obj	Spanish	written	79	4	75	0	0	32	0	-0.0032426389	-0.0076675563	5.1623347769
